unix_timestamp,step,grid_x,grid_y,real_x_m,real_y_m,heading,heading_deg,tof_front_mm,tof_left_mm,tof_right_mm,wall_front,wall_left,wall_right,action
1790147513.085,1,0,0,0.00,0.00,N,0,2037,156,2014,0,1,0,SCAN
1790147518.744,2,0,1,0.00,0.60,N,0,2037,156,2014,0,1,0,MOVE_FORWARD
1790147534.786,3,0,1,0.00,0.60,N,0,1396,166,844,0,1,0,SCAN
1790147541.906,4,0,2,0.00,1.20,N,0,1396,166,844,0,1,0,MOVE_FORWARD
1790147558.088,5,0,2,0.00,1.20,N,0,815,198,1954,0,1,0,SCAN
1790147564.068,6,0,3,0.00,1.80,N,0,815,198,1954,0,1,0,MOVE_FORWARD
1790147580.189,7,0,3,0.00,1.80,N,0,144,173,190,1,1,1,SCAN
1790147590.509,8,0,2,0.00,1.20,N,0,144,173,190,1,1,1,BACKTRACK
1790147613.296,9,0,2,0.00,1.20,N,0,838,144,2125,0,1,0,SCAN
1790147620.757,10,1,2,0.60,1.20,E,90,838,144,2125,0,1,0,MOVE_FORWARD
1790147640.800,11,1,2,0.60,1.20,E,90,1498,1575,118,0,0,1,SCAN
1790147646.740,12,2,2,1.20,1.20,E,90,1498,1575,118,0,0,1,MOVE_FORWARD
1790147662.805,13,2,2,1.20,1.20,E,90,869,1569,137,0,0,1,SCAN
1790147668.663,14,3,2,1.80,1.20,E,90,869,1569,137,0,0,1,MOVE_FORWARD
1790147684.804,15,3,2,1.80,1.20,E,90,203,842,1444,1,0,0,SCAN
1790147692.504,16,3,1,1.80,0.60,S,180,203,842,1444,1,0,0,MOVE_FORWARD
1790147712.505,17,3,1,1.80,0.60,S,180,835,154,775,0,1,0,SCAN
1790147717.927,18,3,0,1.80,0.00,S,180,835,154,775,0,1,0,MOVE_FORWARD
1790147734.108,19,3,0,1.80,0.00,S,180,124,122,2040,1,1,0,SCAN
1790147743.349,20,2,0,1.20,0.00,W,270,124,122,2040,1,1,0,MOVE_FORWARD
1790147763.510,21,2,0,1.20,0.00,W,270,1478,125,828,0,1,0,SCAN
1790147769.391,22,1,0,0.60,0.00,W,270,1478,125,828,0,1,0,MOVE_FORWARD
1790147785.413,23,1,0,0.60,0.00,W,270,878,113,867,0,1,0,SCAN
1790147793.553,24,1,1,0.60,0.60,N,0,878,113,867,0,1,0,MOVE_FORWARD
1790147813.614,25,1,1,0.60,0.60,N,0,175,860,149,1,0,1,SCAN
1790147825.174,26,1,0,0.60,0.00,W,270,175,860,149,1,0,1,BACKTRACK
1790147845.015,27,1,0,0.60,0.00,W,270,916,150,839,0,1,0,SCAN
1790147856.676,28,2,0,1.20,0.00,W,270,916,150,839,0,1,0,BACKTRACK
1790147879.416,29,2,0,1.20,0.00,W,270,1517,115,836,0,1,0,SCAN
1790147886.717,30,2,1,1.20,0.60,N,0,1517,115,836,0,1,0,MOVE_FORWARD
1790147906.618,31,2,1,1.20,0.60,N,0,64,115,818,1,1,0,SCAN
1790147918.279,32,2,0,1.20,0.00,W,270,64,115,818,1,1,0,BACKTRACK
1790147937.923,33,2,0,1.20,0.00,W,270,1460,262,727,0,1,0,SCAN
1790147947.886,34,3,0,1.80,0.00,S,180,1460,262,727,0,1,0,BACKTRACK
1790147967.527,35,3,0,1.80,0.00,S,180,256,75,1974,1,1,0,SCAN
1790147983.188,36,3,1,1.80,0.60,S,180,256,75,1974,1,1,0,BACKTRACK
1790148005.909,37,3,1,1.80,0.60,S,180,899,92,851,0,1,0,SCAN
1790148018.092,38,3,2,1.80,1.20,E,90,899,92,851,0,1,0,BACKTRACK
1790148037.616,39,3,2,1.80,1.20,E,90,72,798,1440,1,0,0,SCAN
1790148049.755,40,3,3,1.80,1.80,N,0,72,798,1440,1,0,0,MOVE_FORWARD
1790148069.535,41,3,3,1.80,1.80,N,0,161,166,105,1,1,1,SCAN
1790148079.494,42,3,2,1.80,1.20,E,90,161,166,105,1,1,1,BACKTRACK
1790148102.116,43,3,2,1.80,1.20,E,90,53,859,1335,1,0,0,SCAN
1790148118.401,44,2,2,1.20,1.20,E,90,53,859,1335,1,0,0,BACKTRACK
1790148141.124,45,2,2,1.20,1.20,E,90,723,1636,102,0,0,1,SCAN
1790148151.125,46,2,3,1.20,1.80,N,0,723,1636,102,0,0,1,MOVE_FORWARD
1790148171.026,47,2,3,1.20,1.80,N,0,920,786,186,0,0,1,SCAN
1790148177.527,48,2,4,1.20,2.40,N,0,920,786,186,0,0,1,MOVE_FORWARD
1790148193.632,49,2,4,1.20,2.40,N,0,293,1378,891,1,0,0,SCAN
1790148199.732,50,3,4,1.80,2.40,E,90,293,1378,891,1,0,0,MOVE_FORWARD
1790148219.733,51,3,4,1.80,2.40,E,90,140,314,92,1,1,1,SCAN
1790148235.475,52,2,4,1.20,2.40,N,0,140,314,92,1,1,1,BACKTRACK
1790148255.135,53,2,4,1.20,2.40,N,0,316,1224,838,1,0,0,SCAN
1790148267.755,54,1,4,0.60,2.40,W,270,316,1224,838,1,0,0,MOVE_FORWARD
1790148286.237,55,1,4,0.60,2.40,W,270,916,1535,129,0,0,1,SCAN
1790148292.177,56,0,4,0.00,2.40,W,270,916,1535,129,0,0,1,MOVE_FORWARD
1790148308.240,57,0,4,0.00,2.40,W,270,272,268,71,1,1,1,SCAN
1790148322.322,58,1,4,0.60,2.40,W,270,272,268,71,1,1,1,BACKTRACK
1790148344.944,59,1,4,0.60,2.40,W,270,963,1510,172,0,0,1,SCAN
1790148350.686,60,1,3,0.60,1.80,S,180,963,1510,172,0,0,1,MOVE_FORWARD
1790148370.247,61,1,3,0.60,1.80,S,180,711,839,115,0,0,1,SCAN
1790148385.967,62,1,4,0.60,2.40,W,270,711,839,115,0,0,1,BACKTRACK
1790148408.548,63,1,4,0.60,2.40,W,270,662,1855,1081,0,0,0,SCAN
1790148419.466,64,2,4,1.20,2.40,N,0,662,1855,1081,0,0,0,BACKTRACK
1790148441.048,65,2,4,1.20,2.40,N,0,843,1960,208,0,0,1,SCAN
