unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1790136506.8016906,-0.00281,0.01226,-1.00514,0.00143,0.00856,0.00143
1790136506.9013321,-0.00472,0.01163,-1.00589,0.00312,0.006,0.00122
1790136507.0221198,-0.00355,0.01199,-1.00519,0.00494,0.00881,0.00154
1790136507.1245356,-0.00387,0.01172,-1.00479,0.00303,0.00753,0.00158
1790136507.2213447,-0.00329,0.01112,-1.00567,0.00441,0.00601,0.00021
1790136507.321434,-0.00322,0.01192,-1.00701,0.00567,0.00487,0.0024
1790136507.4237611,-0.00342,0.01209,-1.00717,0.00399,0.0069,0.00134
1790136507.5269558,-0.00284,0.01162,-1.00622,0.00509,0.0072,0.00179
1790136507.6422577,-0.00299,0.01249,-1.00796,0.00527,0.00703,0.00034
1790136507.7423172,-0.00382,0.01235,-1.00666,0.00699,0.01053,0.00245
1790136507.8451762,-0.00371,0.01124,-1.00637,0.0078,0.00877,-0.00035
1790136507.9433746,-0.00425,0.01171,-1.00651,0.00528,0.00751,0.00041
1790136508.065834,-0.00416,0.01195,-1.00514,0.00323,0.0056,-0.00112
1790136508.1622324,-0.00395,0.01224,-1.0073,0.00365,0.006,0.00147
1790136508.2615798,-0.00162,0.0112,-1.00781,0.00591,0.00827,0.0025
1790136508.3675401,-0.00464,0.01242,-1.00717,0.00501,0.00548,0.00181
1790136508.4616203,-0.00284,0.01282,-1.00498,0.00221,0.00647,0.00155
1790136508.581369,-0.00337,0.01184,-1.00653,-0.00025,0.00436,0.00152
1790136508.6809008,-0.00539,0.01116,-1.00724,0.00127,0.00871,-0.00084
1790136508.7812915,-0.00247,0.01252,-1.00373,0.0023,0.00637,0.00032
1790136508.8837142,-0.00455,0.01178,-1.00596,0.0032,0.00679,0.00265
1790136508.9838161,-0.00525,0.01253,-1.00629,0.00052,0.00399,0.00387
1790136509.0808306,-0.00439,0.01068,-1.00558,0.00304,0.00872,0.00131
1790136509.1826577,-0.00504,0.01196,-1.00659,0.0049,0.00847,-0.00032
1790136509.2808478,-0.00377,0.01223,-1.0081,0.00052,0.00823,0.0051
1790136509.3820612,-0.00331,0.01211,-1.00735,0.00211,0.00609,0.0017
1790136509.5016732,-0.00385,0.01061,-1.00435,0.00385,0.00761,0.00379
1790136509.601429,-0.00305,0.0127,-1.00519,0.00169,0.0076,0.00061
1790136509.714681,-0.00458,0.01126,-1.00628,0.0033,0.00823,-0.00164
1790136509.8053896,-0.00253,0.01204,-1.00509,0.00585,0.00709,0.00019
1790136509.9009693,-0.00487,0.01143,-1.007,0.00493,0.00814,0.0019
1790136510.0219135,-0.0024,0.01189,-1.00581,0.00499,0.0067,-0.00128
1790136510.1211946,-0.00345,0.01158,-1.00557,0.00263,0.00475,-0.00208
1790136510.2217228,-0.00378,0.01251,-1.00746,0.00777,0.00673,-0.00228
1790136510.343418,-0.00339,0.01173,-1.00693,0.00196,0.00866,0.00261
1790136510.440946,-0.0054,0.01045,-1.00754,0.00547,0.00662,0.00131
1790136510.5415552,-0.00382,0.01113,-1.00797,0.00328,0.00429,-0.00112
1790136510.6708882,-0.00419,0.0132,-1.00615,0.00416,0.00849,-0.0009
1790136510.7613893,-0.00465,0.01096,-1.0068,0.00562,0.00766,0.00282
1790136510.8617504,-0.00249,0.01436,-1.00685,0.00331,0.00884,-0.00093
1790136510.9616594,0.00142,0.01404,-1.00793,0.01416,0.00934,0.00889
1790136511.0611486,-0.00282,0.01238,-1.00561,-0.00594,0.00433,-0.0061
1790136511.161348,-0.00705,0.00979,-1.00646,0.00379,0.00354,-0.00011
1790136511.262081,-0.002,0.01194,-1.00611,0.00427,0.00459,-0.00334
1790136511.3811862,-0.00397,0.01272,-1.00597,0.00475,0.00829,0.00318
1790136511.4813056,-0.00501,0.01184,-1.00572,0.00624,0.00831,0.00141
1790136511.5825596,-0.00364,0.01203,-1.00679,0.00329,0.00787,-0.00107
1790136511.6818945,-0.00258,0.01336,-1.00585,0.00523,0.0079,-0.00081
1790136511.7819018,-0.00669,0.00971,-1.00551,0.00222,0.00721,0.00594
1790136511.8818126,-0.00286,0.01468,-1.00609,0.00256,0.0093,-0.00251
1790136511.9816005,-0.00343,0.01084,-1.00721,0.00532,0.00332,0.00361
1790136512.102666,-0.00585,0.01223,-1.00626,0.00464,0.00673,-0.00151
1790136512.2045097,-0.00316,0.01375,-1.0064,0.00433,0.00684,-0.00014
1790136512.3069296,-0.00271,0.0122,-1.00682,0.00361,0.00653,-0.00295
1790136512.4082556,-0.00484,0.01065,-1.00612,0.00448,0.00696,0.00035
1790136512.5059261,-0.00499,0.01179,-1.00651,0.00613,0.00351,0.0024
1790136512.6241162,-0.00291,0.01171,-1.00698,0.00429,0.00873,0.00182
1790136512.7213247,-0.00358,0.01152,-1.00517,0.00382,0.00813,-0.00173
1790136512.8245537,-0.00389,0.01339,-1.00635,0.00485,0.00441,-0.00208
1790136512.930534,-0.00431,0.01151,-1.00707,0.00306,0.00806,-0.00025
1790136513.041537,-0.00627,0.01203,-1.00646,0.00634,0.00525,0.00093
1790136513.14199,-0.00461,0.01188,-1.00538,0.00523,0.00628,-0.00163
1790136513.2409613,-0.00308,0.01262,-1.0065,0.0042,0.00291,-0.00152
1790136513.3406093,-0.00436,0.01195,-1.0071,0.00518,0.00458,0.00192
1790136513.4415913,-0.00375,0.01264,-1.00754,0.00331,0.00551,-0.00159
1790136513.5643282,-0.00278,0.01218,-1.0072,0.0064,0.00707,-0.00136
1790136513.6614153,-0.00366,0.01135,-1.00589,0.0041,0.00696,-0.00055
1790136513.755327,-0.02629,0.01445,-1.00718,0.00368,-0.00582,-0.00489
1790136513.8616285,0.00022,0.01,-1.00412,0.00239,0.00522,-0.00198
1790136513.9617844,-0.00678,0.00883,-1.00548,0.00471,0.01192,0.00373
1790136514.0820467,-0.00258,0.01399,-1.00605,0.00409,0.00881,0.00054
1790136514.1821892,-0.00246,0.01074,-1.00577,0.00297,0.00591,0.00082
1790136514.280662,-0.00398,0.01139,-1.00503,0.00568,0.00499,0.00069
1790136514.3829527,-0.00433,0.01153,-1.00591,0.00445,0.01259,0.00121
1790136514.4881074,-0.00254,0.01271,-1.0062,0.00503,0.00816,-0.0011
1790136514.601132,-0.0058,0.02645,-1.00717,0.00416,0.00952,-0.00629
1790136514.701287,-0.00595,0.0081,-1.00577,0.00317,0.00782,0.00364
1790136514.8015118,-0.00277,0.01093,-1.00767,0.00417,0.0042,-0.0049
1790136514.9009724,-0.0052,0.01449,-1.00775,0.00154,0.00689,0.00025
1790136515.0026338,-0.0035,0.01219,-1.00711,0.00641,0.00692,-0.00259
1790136515.1215982,-0.003,0.01157,-1.00462,0.00298,0.00528,-0.0009
1790136515.2252882,-0.00414,0.01161,-1.00404,0.00572,0.00737,0.00107
1790136515.3217704,-0.00324,0.01198,-1.007,0.00292,0.00832,9e-05
1790136515.4216666,-0.00488,0.01144,-1.00815,0.00318,0.00833,-0.00018
1790136515.531414,-0.00192,0.01058,-1.00618,0.00482,0.00663,0.00014
1790136515.6276321,-0.00489,0.01109,-1.00576,0.00155,0.00364,-0.00083
1790136515.7249882,-0.00457,0.0124,-1.00576,0.00457,0.00799,0.004
1790136515.841654,-0.00283,0.01252,-1.00804,0.00409,0.00745,0.0022
1790136515.9420524,-0.00361,0.01301,-1.00636,0.00389,0.00644,-0.00093
1790136516.04294,-0.00366,0.01213,-1.00739,0.00457,0.00752,0.0011
1790136516.1419702,-0.00487,0.01115,-1.00733,0.00238,0.0082,0.00206
1790136516.2415762,-0.00316,0.01141,-1.00646,0.00335,0.00953,-0.00045
1790136516.3420732,-0.00305,0.0122,-1.0073,0.00329,0.0089,0.00136
1790136516.4415052,-0.00371,0.01286,-1.00718,0.00363,0.00765,0.0003
1790136516.5417569,-0.00178,0.01233,-1.00522,0.00281,0.0068,0.00364
1790136516.6426187,-0.00236,0.01029,-1.00714,0.00385,0.00841,-0.00193
1790136516.7414694,0.01472,0.00981,-1.00655,-0.00098,0.01099,-0.00575
1790136516.8622253,-0.00255,0.01606,-1.00507,-0.00093,0.0063,-0.00414
1790136516.9614983,-0.00495,0.00711,-1.00607,0.00333,0.01183,-0.0005
1790136517.0815694,-0.00395,0.01176,-1.00694,0.00809,0.00796,0.00149
1790136517.1822646,-0.00333,0.01274,-1.00572,0.0033,0.00756,0.00158
1790136517.294205,-0.00429,0.01166,-1.00593,0.00304,0.00794,0.00089
1790136517.3831196,-0.00322,0.0106,-1.00622,0.00508,0.00716,0.00113
