unix_timestamp,yaw,pitch,roll
1790227981.5689712,-177.05,1.25,-0.2
1790227981.7911167,-177.05,1.25,-0.2
1790227981.988053,-177.05,1.25,-0.2
1790227982.2164955,-177.05,1.25,-0.2
1790227982.4474115,-177.06,1.25,-0.2
1790227982.6607788,-177.05,1.25,-0.2
1790227982.807738,-177.06,1.25,-0.2
1790227983.002102,-177.05,1.25,-0.2
1790227983.2262123,-177.06,1.25,-0.2
1790227983.42379,-177.05,1.25,-0.2
1790227983.642552,-176.83,1.22,-0.22
1790227983.8623204,-177.06,1.23,-0.23
1790227984.0849478,-177.03,1.23,-0.2
1790227984.2820487,-177.18,1.19,-0.14
1790227984.5427668,-177.04,1.19,-0.14
1790227984.7141924,-177.06,1.2,-0.16
1790227984.9079714,-177.03,1.18,-0.17
1790227985.113611,-177.08,1.21,-0.17
1790227985.3229105,-177.05,1.21,-0.15
1790227985.5675368,-177.8,1.21,-0.09
1790227985.7685466,-177.74,1.22,-0.09
1790227985.9508944,-177.64,1.18,-0.11
1790227986.1491735,-177.68,1.16,-0.08
1790227986.3661401,-177.85,1.14,-0.06
1790227986.5697439,-177.96,1.14,-0.04
1790227986.7849982,-177.93,1.14,-0.05
1790227986.9779375,-177.85,1.16,-0.06
1790227987.1767578,-177.94,1.11,-0.02
1790227987.3822672,-177.96,1.08,0.01
1790227987.586399,-178.02,1.06,-0.05
1790227987.8095982,-179.29,1.07,-0.07
1790227988.0180242,-179.29,1.06,-0.07
1790227988.2225144,-179.27,1.04,-0.02
1790227988.4334867,-179.33,1.06,-0.07
1790227988.6434422,-179.28,1.03,-0.08
1790227988.8299701,-179.26,1.02,-0.11
1790227989.0355093,-179.25,1.01,-0.1
1790227989.2455938,-179.27,1.0,-0.13
1790227989.452042,-179.16,0.96,-0.13
1790227989.6674597,-179.18,0.97,-0.13
1790227989.8654785,-179.25,0.95,-0.1
1790227990.1243024,-179.24,0.94,-0.11
1790227990.3339853,-179.24,0.93,-0.11
1790227990.5483575,-179.23,0.93,-0.11
1790227990.7480533,-179.22,0.92,-0.1
1790227990.944994,-179.22,0.92,-0.1
1790227991.1690805,-179.3,0.9,-0.12
1790227991.387513,-179.15,0.94,-0.12
1790227991.5849624,-179.27,0.94,-0.09
1790227991.805405,-179.26,0.92,-0.08
1790227992.027661,-179.27,0.92,-0.08
1790227992.2445743,-179.27,0.92,-0.08
1790227992.4510515,-179.27,0.93,-0.08
1790227992.6656055,-179.28,0.93,-0.08
1790227992.8514454,-179.28,0.93,-0.08
1790227993.066598,-179.19,0.94,-0.15
1790227993.2649393,-179.43,0.98,-0.1
1790227993.4648304,-179.1,0.95,-0.09
1790227993.6960728,-179.2,0.95,-0.09
1790227993.8870685,-179.0,0.95,-0.04
1790227994.1076455,-179.0,0.95,-0.06
1790227994.3659565,-178.96,0.89,-0.12
1790227994.539867,-179.0,0.9,-0.14
1790227994.7341673,-179.02,0.9,-0.19
1790227994.929279,-179.19,0.85,-0.15
1790227995.149416,-179.0,0.85,-0.14
1790227995.4031322,-178.94,0.87,-0.17
1790227995.5687606,-178.96,0.82,-0.18
1790227995.7770386,-178.95,0.86,-0.19
1790227995.9663372,-178.96,0.86,-0.23
1790227996.1795146,-179.04,0.86,-0.23
1790227996.3961458,-179.04,0.86,-0.22
1790227996.5895066,-179.2,0.89,-0.25
1790227996.8098335,-178.98,0.85,-0.22
1790227997.0083659,-179.03,0.83,-0.21
1790227997.2289007,-179.07,0.8,-0.23
1790227997.428455,-179.42,0.81,-0.26
1790227997.6503906,-179.42,0.81,-0.25
1790227997.8494437,-179.43,0.79,-0.21
1790227998.0832486,-179.38,0.81,-0.22
1790227998.2669098,-179.55,0.84,-0.23
1790227998.4878263,-179.37,0.82,-0.2
1790227998.6920965,-179.29,0.82,-0.2
1790227998.910552,-179.34,0.85,-0.22
1790227999.134875,-179.39,0.82,-0.19
1790227999.3284707,-179.32,0.8,-0.19
1790227999.5296175,-179.25,0.83,-0.11
1790227999.7516644,-178.81,0.8,-0.07
1790227999.9488668,-178.83,0.78,-0.05
1790228000.1675332,-178.98,0.76,-0.05
1790228000.3876815,-178.6,0.8,-0.13
1790228000.6001737,-178.79,0.81,-0.05
1790228000.786792,-178.46,0.79,-0.02
1790228001.008213,-178.26,0.79,-0.0
1790228001.2279696,-178.29,0.78,-0.01
1790228001.4298391,-178.28,0.76,-0.02
1790228001.6466436,-178.27,0.75,-0.02
1790228001.8473501,-178.27,0.75,-0.03
1790228002.0677433,-178.22,0.69,-0.05
1790228002.268395,-178.28,0.72,-0.08
1790228002.488174,-178.25,0.73,-0.08
1790228002.6871147,-178.52,0.72,-0.06
1790228002.9129844,-178.51,0.72,-0.09
1790228003.1112807,-178.51,0.68,-0.19
1790228003.3279583,-178.48,0.71,-0.16
1790228003.5676796,-178.43,0.68,-0.21
1790228003.7681463,-178.88,0.68,-0.16
1790228003.9707522,-178.94,0.66,-0.18
1790228004.1915896,-178.86,0.66,-0.24
1790228004.4080358,-178.81,0.62,-0.2
1790228004.6078227,-178.84,0.58,-0.18
1790228004.8248942,-178.97,0.6,-0.25
1790228005.031653,179.81,0.63,-0.08
1790228005.2579722,179.8,0.67,-0.06
1790228005.4646256,179.48,0.61,-0.19
1790228005.6717477,179.65,0.59,-0.13
1790228005.8929925,179.8,0.57,-0.15
1790228006.1064184,179.7,0.56,-0.12
1790228006.31265,179.72,0.52,-0.13
1790228006.5304778,179.69,0.5,-0.13
1790228006.741745,179.78,0.46,-0.16
1790228006.9506946,179.78,0.43,-0.16
1790228007.1502657,179.75,0.43,-0.16
1790228007.3826098,179.51,0.46,-0.12
1790228007.6108396,179.5,0.45,-0.12
1790228007.8110092,179.4,0.41,-0.15
1790228008.0302453,179.55,0.36,-0.18
1790228008.2499874,179.56,0.33,-0.2
1790228008.47031,179.25,0.32,-0.22
1790228008.6904163,178.84,0.32,-0.24
1790228008.9109225,178.81,0.32,-0.25
1790228009.1108441,178.83,0.31,-0.33
1790228009.332611,178.96,0.32,-0.35
1790228009.5318272,178.78,0.33,-0.48
1790228009.751659,179.2,0.35,-0.5
1790228009.9701564,179.95,0.34,-0.5
1790228010.1934936,179.91,0.33,-0.53
1790228010.4102423,179.95,0.32,-0.53
1790228010.638247,-179.95,0.29,-0.57
1790228010.8325093,179.94,0.26,-0.57
1790228011.0532055,-179.89,0.2,-0.52
1790228011.2510355,179.69,0.22,-0.55
1790228011.4508984,179.59,0.22,-0.53
1790228011.6906366,179.61,0.23,-0.57
1790228011.8904014,179.52,0.17,-0.58
1790228012.110964,179.69,0.2,-0.55
1790228012.3509347,179.62,0.16,-0.53
1790228012.574921,179.63,0.14,-0.49
1790228012.7725778,179.69,0.12,-0.51
1790228012.970888,179.7,0.09,-0.51
1790228013.1908488,179.68,0.09,-0.5
1790228013.4106066,179.68,0.07,-0.51
1790228013.6107662,179.68,0.05,-0.51
1790228013.8298795,179.63,0.06,-0.51
1790228014.0406492,179.8,0.1,-0.56
1790228014.2510767,179.83,0.06,-0.58
1790228014.4502013,179.64,0.04,-0.48
1790228014.692608,179.54,0.06,-0.49
1790228014.8914788,179.61,0.08,-0.48
1790228015.0911846,179.63,0.08,-0.5
1790228015.3109314,179.62,0.09,-0.5
1790228015.5305572,179.63,0.09,-0.5
1790228015.7323139,179.63,0.1,-0.5
1790228015.9499736,179.23,0.08,-0.53
1790228016.1926012,179.7,0.08,-0.54
1790228016.3938613,179.69,0.06,-0.49
1790228016.610366,-179.99,0.03,-0.41
1790228016.850871,-179.77,0.08,-0.42
1790228017.050522,-179.75,0.05,-0.43
1790228017.257458,-179.75,0.05,-0.43
1790228017.4725513,-179.75,0.05,-0.43
1790228017.6769078,-179.75,0.05,-0.43
1790228017.8908684,-179.76,0.05,-0.44
1790228018.1106994,-179.77,0.06,-0.4
1790228018.3115633,-179.85,0.07,-0.42
1790228018.510582,-179.75,0.05,-0.4
1790228018.7306798,-179.51,0.09,-0.38
1790228018.9527924,-179.5,0.09,-0.37
1790228019.190632,-179.48,0.06,-0.38
1790228019.390652,-179.48,0.06,-0.37
1790228019.610808,-179.49,0.07,-0.37
1790228019.8304977,-179.49,0.07,-0.38
1790228020.054067,-179.54,0.07,-0.34
1790228020.2703223,-179.55,0.09,-0.38
1790228020.4956198,-179.42,0.01,-0.42
1790228020.7108648,-179.95,0.1,-0.44
1790228020.910292,-179.95,0.09,-0.44
1790228021.1303658,-179.95,0.09,-0.44
1790228021.3502223,-179.94,0.09,-0.44
1790228021.5706549,-179.95,0.09,-0.44
1790228021.7902992,-179.95,0.09,-0.44
1790228021.9909024,-179.9,0.08,-0.45
1790228022.2409816,179.94,0.13,-0.45
1790228022.4130588,-179.89,0.14,-0.46
1790228022.6302032,-179.91,0.24,-0.46
1790228022.832236,-179.92,0.26,-0.45
1790228023.0518196,-179.91,0.25,-0.45
1790228023.251257,-179.91,0.26,-0.45
1790228023.4519196,-179.91,0.25,-0.45
1790228023.6907492,-179.91,0.26,-0.45
1790228023.9131494,-179.72,0.25,-0.45
1790228024.1126049,-179.93,0.29,-0.3
1790228024.3123822,-179.84,0.2,-0.29
1790228024.512703,-179.92,0.2,-0.25
1790228024.7331464,-179.39,0.18,-0.21
1790228024.9320917,-179.39,0.18,-0.19
1790228025.152403,-179.43,0.2,-0.15
1790228025.3556728,-179.43,0.17,-0.15
1790228025.5770087,-179.35,0.18,-0.16
1790228025.8082247,178.87,0.21,-0.1
1790228026.0123684,178.79,0.23,-0.09
1790228026.233089,178.86,0.23,-0.12
1790228026.4517453,178.84,0.26,-0.01
1790228026.676931,178.86,0.32,0.0
1790228026.8988607,-179.96,0.25,0.07
1790228027.1178534,-179.96,0.21,0.04
1790228027.3144095,179.99,0.15,0.08
1790228027.8038547,-179.94,0.16,0.06
1790228028.1567028,179.39,0.12,0.08
1790228028.1637568,179.58,0.23,-0.01
1790228028.7802262,179.45,0.21,-0.02
1790228028.78423,179.52,0.22,-0.05
1790228029.0949948,179.02,0.25,-0.05
1790228029.4050832,178.67,0.28,-0.06
1790228029.4195123,178.68,0.3,-0.06
1790228029.7140338,178.63,0.33,-0.08
1790228030.0236082,178.84,0.36,-0.09
1790228030.0271523,178.71,0.34,-0.04
1790228030.3248203,177.86,0.34,0.04
1790228030.5719945,177.57,0.36,0.07
1790228030.6772072,177.57,0.37,0.08
1790228030.875398,177.59,0.42,0.02
1790228031.0802166,177.63,0.45,0.11
1790228031.3056304,177.54,0.42,0.21
1790228031.494876,177.57,0.41,0.2
1790228031.727791,177.74,0.45,0.22
1790228031.943573,177.88,0.47,0.14
1790228032.1716077,177.84,0.51,0.25
1790228032.376405,177.8,0.49,0.28
1790228032.5750144,177.14,0.51,0.32
