unix_timestamp,pitch_angle,yaw_angle,pitch_ground_angle,yaw_ground_angle
1790227982.469026,-1.4,0.0,0.0,178.0
1790227983.504906,-1.4,0.0,0.0,178.0
1790227984.5813463,-1.4,0.0,0.0,178.0
1790227985.6314268,-1.5,0.7,0.0,178.0
1790227986.623083,-1.4,0.9,0.0,178.0
1790227987.6994264,-1.4,1.8,0.0,178.0
1790227988.692135,-1.3,2.3,0.0,178.0
1790227989.7249694,-1.2,2.1,0.0,178.0
1790227990.8045754,-1.2,2.2,0.0,178.0
1790227991.867851,-1.2,2.2,0.0,178.0
1790227992.9065764,-1.1,2.1,0.0,178.0
1790227993.956816,-1.1,1.9,0.0,178.0
1790227995.0366967,-1.0,2.0,0.0,178.0
1790227996.0309272,-1.0,1.9,0.0,178.0
1790227997.0940197,-1.2,1.7,0.0,178.0
1790227998.1273572,-1.0,2.2,0.0,178.0
1790227999.190227,-1.2,2.2,0.0,178.0
1790228000.2274852,-1.0,1.7,0.0,178.0
1790228001.2878463,-1.0,1.1,0.0,178.0
1790228002.32787,-0.9,1.2,0.0,178.0
1790228003.4107192,-0.9,1.3,0.0,178.0
1790228004.4680145,-0.8,1.4,0.0,178.0
1790228005.5150566,-0.9,3.4,0.0,178.0
1790228006.5909538,-0.7,3.1,0.0,178.0
1790228007.650216,-0.7,3.3,0.0,178.0
1790228008.7512257,-0.6,4.0,0.0,178.0
1790228009.8113103,-0.6,3.0,0.0,178.0
1790228010.9104548,-0.6,2.8,0.0,178.0
1790228011.9506512,-0.5,3.1,0.0,178.0
1790228013.052268,-0.3,3.1,0.0,178.0
1790228014.1145444,-0.2,3.1,0.0,178.0
1790228015.1705961,-0.2,3.2,0.0,178.0
1790228016.2410626,0.0,3.1,0.0,178.0
1790228017.330102,-0.2,2.6,0.0,178.0
1790228018.3711767,-0.2,2.6,0.0,178.0
1790228019.4717839,-0.1,2.4,0.0,178.0
1790228020.5528722,-0.1,2.6,0.0,178.0
1790228021.639741,-0.1,2.8,0.0,178.0
1790228022.6906092,-0.3,2.8,0.0,178.0
1790228023.7510242,-0.2,2.8,0.0,178.0
1790228024.7934017,-0.2,2.3,0.0,178.0
1790228025.9014947,-0.3,4.3,0.0,178.0
1790228026.9528139,-0.6,2.2,-0.2,177.3
1790228028.1668267,-0.6,2.7,-0.2,177.3
1790228029.095991,-0.6,3.7,-0.2,177.3
1790228030.3248203,-0.7,3.8,-0.2,177.3
1790228031.1543555,-0.7,4.8,-0.3,177.3
1790228032.2050636,-0.8,4.7,-0.2,177.3
1790228033.2712588,-0.9,6.3,-0.2,177.3
1790228034.3135023,-1.0,6.2,-0.2,177.3
1790228035.364693,-1.0,6.3,-0.3,177.3
