unix_timestamp,x,y,z
1790227982.3760777,0.0,0.0,0.0
1790227983.4070032,1e-05,-3e-05,0.0
1790227984.514571,0.00579,-0.05495,0.0
1790227985.523069,0.01299,-0.11257,0.0
1790227986.5543983,0.02124,-0.16597,0.0
1790227987.586399,0.03484,-0.21974,0.0
1790227988.6368165,0.03898,-0.26869,0.0
1790227989.6442988,0.04727,-0.32698,0.0
1790227990.7480533,0.0485,-0.34197,0.0
1790227991.7692342,0.04785,-0.3953,0.0
1790227992.8494253,0.04945,-0.39529,0.0
1790227993.8696885,0.0543,-0.44782,0.0
1790227994.9125164,0.0652,-0.50004,0.0
1790227995.9489038,0.07079,-0.54325,0.0
1790227996.9862816,0.0697,-0.58855,0.0
1790227998.0276043,0.06193,-0.62943,0.0
1790227999.091648,0.06061,-0.67465,0.0
1790228000.1499748,0.07172,-0.72122,0.0
1790228001.186996,0.08093,-0.76786,0.0
1790228002.265889,0.08447,-0.79226,0.0
1790228003.2879112,0.08415,-0.84354,0.0
1790228004.3675358,0.09736,-0.89171,0.0
1790228005.4106135,0.10662,-0.93501,0.0
1790228006.4908545,0.11077,-0.98578,0.0
1790228007.5506308,0.12068,-1.03917,0.0
1790228008.6762943,0.11902,-1.09217,0.0
1790228009.731804,0.11944,-1.14461,0.0
1790228010.8093026,0.13099,-1.18757,0.0
1790228011.877342,0.13853,-1.21938,0.0
1790228012.9500613,0.13859,-1.25547,0.0
1790228014.0241067,0.1421,-1.26809,0.0
1790228015.0705712,0.14183,-1.31208,0.0
1790228016.1304092,0.14254,-1.3301,0.0
1790228017.2303712,0.14183,-1.36644,0.0
1790228018.2709005,0.14312,-1.40037,0.0
1790228019.3706236,0.14403,-1.41795,0.0
1790228020.451618,0.14426,-1.46829,0.0
1790228021.5304258,0.14356,-1.47173,0.0
1790228022.6117673,0.15583,-1.52564,0.0
1790228023.6716974,0.1593,-1.52536,0.0
1790228024.7124279,0.16804,-1.5862,0.0
1790228025.8082247,0.16805,-1.6517,0.0
1790228026.8524492,0.15873,-1.71433,0.0
1790228028.1637568,0.15291,-1.76774,0.0
1790228029.0949948,0.1384,-1.8279,0.0
1790228030.025867,0.12809,-1.87443,0.0
1790228031.0689485,0.11486,-1.92331,0.0
1790228032.1706035,0.09295,-1.99089,0.0
1790228033.19779,0.08982,-2.03114,0.0
1790228034.2163482,0.08181,-2.07612,0.0
1790228035.284729,0.08135,-2.12841,0.0
